[2024-11-10 01:33:43] Starting processing of /home/ubuntu/quantumLeap/data/input/Step_2_Classic_Texts_and_Ethnographies/2.1_Public_Domain_Books/Project_Gutenberg/psychology_of_unconscious.txt
[2024-11-10 01:33:43] Processing section 138: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 140: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 142: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 144: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 146: SectionType.HEADER, 10 tokens
[2024-11-10 01:33:43] Processing section 148: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 150: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 152: SectionType.HEADER, 10 tokens
[2024-11-10 01:33:43] Processing section 154: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 156: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 158: SectionType.HEADER, 15 tokens
[2024-11-10 01:33:43] Processing section 160: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 162: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 164: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 165: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 167: SectionType.HEADER, 15 tokens
[2024-11-10 01:33:43] Processing section 169: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 170: SectionType.HEADER, 10 tokens
[2024-11-10 01:33:43] Processing section 172: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 173: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 174: SectionType.HEADER, 9 tokens
[2024-11-10 01:33:43] Processing section 176: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 177: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 179: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 180: SectionType.HEADER, 15 tokens
[2024-11-10 01:33:43] Processing section 181: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 182: SectionType.HEADER, 16 tokens
[2024-11-10 01:33:43] Processing section 184: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 185: SectionType.HEADER, 10 tokens
[2024-11-10 01:33:43] Processing section 187: SectionType.HEADER, 10 tokens
[2024-11-10 01:33:43] Processing section 189: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 191: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 192: SectionType.HEADER, 15 tokens
[2024-11-10 01:33:43] Processing section 194: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 196: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 198: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 200: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 202: SectionType.HEADER, 10 tokens
[2024-11-10 01:33:43] Processing section 204: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 206: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 207: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 208: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 209: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 211: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 212: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 214: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 216: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 218: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 220: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 222: SectionType.HEADER, 9 tokens
[2024-11-10 01:33:43] Processing section 223: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 225: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 227: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 229: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 231: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 233: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 235: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 237: SectionType.HEADER, 10 tokens
[2024-11-10 01:33:43] Processing section 239: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 241: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 243: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 245: SectionType.HEADER, 17 tokens
[2024-11-10 01:33:43] Processing section 247: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 249: SectionType.HEADER, 15 tokens
[2024-11-10 01:33:43] Processing section 251: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 253: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 255: SectionType.HEADER, 10 tokens
[2024-11-10 01:33:43] Processing section 257: SectionType.HEADER, 15 tokens
[2024-11-10 01:33:43] Processing section 259: SectionType.HEADER, 17 tokens
[2024-11-10 01:33:43] Processing section 261: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 263: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 265: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 267: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 269: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 271: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 272: SectionType.HEADER, 10 tokens
[2024-11-10 01:33:43] Processing section 274: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 276: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 278: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 280: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 282: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 284: SectionType.HEADER, 10 tokens
[2024-11-10 01:33:43] Processing section 286: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 288: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 290: SectionType.HEADER, 9 tokens
[2024-11-10 01:33:43] Processing section 292: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 294: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 296: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 298: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 300: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 302: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 304: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 306: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 308: SectionType.HEADER, 8 tokens
[2024-11-10 01:33:43] Processing section 310: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 312: SectionType.HEADER, 15 tokens
[2024-11-10 01:33:43] Processing section 314: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 316: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 318: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 320: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 321: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 322: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 323: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 325: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 326: SectionType.HEADER, 15 tokens
[2024-11-10 01:33:43] Processing section 328: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 330: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 331: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 333: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 335: SectionType.HEADER, 12 tokens
