[2024-11-10 06:11:59] Starting processing of /home/ubuntu/quantumLeap/data/input/Step_2_Classic_Texts_and_Ethnographies/2.1_Public_Domain_Books/Project_Gutenberg/psychology_of_unconscious.txt
[2024-11-10 06:11:59] Input text: 845623 chars, 199664 tokens
[2024-11-10 06:11:59] Starting text processing
[2024-11-10 06:11:59] 
Processing chunk 1
[2024-11-10 06:11:59] Starting get_complete_paragraphs with 845623 chars of text
[2024-11-10 06:11:59] Found 2957 sections
[2024-11-10 06:11:59] Processing section 1: SectionType.HEADER, 9 tokens
[2024-11-10 06:11:59] Processing section 2: SectionType.HEADER, 20 tokens
[2024-11-10 06:11:59] Processing section 3: SectionType.HEADER, 12 tokens
[2024-11-10 06:11:59] Processing section 5: SectionType.HEADER, 12 tokens
[2024-11-10 06:11:59] Processing section 7: SectionType.HEADER, 12 tokens
[2024-11-10 06:11:59] Processing section 9: SectionType.HEADER, 14 tokens
[2024-11-10 06:11:59] Processing section 11: SectionType.HEADER, 11 tokens
[2024-11-10 06:11:59] Processing section 13: SectionType.HEADER, 15 tokens
[2024-11-10 06:11:59] Processing section 15: SectionType.HEADER, 14 tokens
[2024-11-10 06:11:59] Processing section 17: SectionType.HEADER, 10 tokens
[2024-11-10 06:11:59] Processing section 18: SectionType.HEADER, 13 tokens
[2024-11-10 06:11:59] Processing section 20: SectionType.HEADER, 10 tokens
[2024-11-10 06:11:59] Processing section 21: SectionType.HEADER, 12 tokens
[2024-11-10 06:11:59] Processing section 23: SectionType.HEADER, 11 tokens
[2024-11-10 06:11:59] Processing section 25: SectionType.HEADER, 12 tokens
[2024-11-10 06:11:59] Processing section 26: SectionType.HEADER, 11 tokens
[2024-11-10 06:11:59] Processing section 28: SectionType.HEADER, 14 tokens
[2024-11-10 06:11:59] Processing section 30: SectionType.HEADER, 9 tokens
[2024-11-10 06:11:59] Processing section 32: SectionType.HEADER, 15 tokens
[2024-11-10 06:11:59] Processing section 33: SectionType.HEADER, 12 tokens
[2024-11-10 06:11:59] Processing section 35: SectionType.HEADER, 13 tokens
[2024-11-10 06:11:59] Processing section 36: SectionType.HEADER, 13 tokens
[2024-11-10 06:11:59] Processing section 38: SectionType.HEADER, 10 tokens
[2024-11-10 06:11:59] Processing section 39: SectionType.HEADER, 11 tokens
[2024-11-10 06:11:59] Processing section 41: SectionType.HEADER, 11 tokens
[2024-11-10 06:11:59] Processing section 43: SectionType.HEADER, 12 tokens
[2024-11-10 06:11:59] Processing section 44: SectionType.HEADER, 12 tokens
[2024-11-10 06:11:59] Processing section 45: SectionType.HEADER, 14 tokens
[2024-11-10 06:11:59] Processing section 47: SectionType.HEADER, 13 tokens
[2024-11-10 06:11:59] Processing section 49: SectionType.HEADER, 13 tokens
[2024-11-10 06:11:59] Processing section 51: SectionType.HEADER, 14 tokens
[2024-11-10 06:11:59] Processing section 53: SectionType.HEADER, 13 tokens
[2024-11-10 06:11:59] Processing section 55: SectionType.HEADER, 13 tokens
[2024-11-10 06:11:59] Processing section 57: SectionType.HEADER, 13 tokens
[2024-11-10 06:11:59] Processing section 59: SectionType.HEADER, 12 tokens
[2024-11-10 06:11:59] Processing section 61: SectionType.HEADER, 13 tokens
[2024-11-10 06:11:59] Processing section 63: SectionType.HEADER, 14 tokens
[2024-11-10 06:11:59] Processing section 65: SectionType.HEADER, 11 tokens
[2024-11-10 06:11:59] Processing section 67: SectionType.HEADER, 12 tokens
[2024-11-10 06:11:59] Processing section 69: SectionType.HEADER, 11 tokens
[2024-11-10 06:11:59] Processing section 71: SectionType.HEADER, 12 tokens
[2024-11-10 06:11:59] Processing section 73: SectionType.HEADER, 13 tokens
[2024-11-10 06:11:59] Processing section 75: SectionType.HEADER, 13 tokens
[2024-11-10 06:11:59] Processing section 77: SectionType.HEADER, 11 tokens
[2024-11-10 06:11:59] Processing section 79: SectionType.HEADER, 11 tokens
[2024-11-10 06:11:59] Processing section 80: SectionType.HEADER, 12 tokens
[2024-11-10 06:11:59] Processing section 82: SectionType.HEADER, 14 tokens
[2024-11-10 06:11:59] Processing section 84: SectionType.HEADER, 12 tokens
[2024-11-10 06:11:59] Processing section 86: SectionType.HEADER, 10 tokens
[2024-11-10 06:11:59] Processing section 88: SectionType.HEADER, 10 tokens
[2024-11-10 06:11:59] Processing section 90: SectionType.HEADER, 13 tokens
[2024-11-10 06:11:59] Processing section 91: SectionType.HEADER, 10 tokens
[2024-11-10 06:11:59] Processing section 93: SectionType.HEADER, 11 tokens
[2024-11-10 06:11:59] Processing section 95: SectionType.HEADER, 11 tokens
[2024-11-10 06:11:59] Processing section 96: SectionType.HEADER, 12 tokens
[2024-11-10 06:11:59] Processing section 98: SectionType.HEADER, 13 tokens
[2024-11-10 06:11:59] Processing section 100: SectionType.HEADER, 12 tokens
[2024-11-10 06:11:59] Processing section 102: SectionType.HEADER, 12 tokens
[2024-11-10 06:11:59] Processing section 104: SectionType.HEADER, 11 tokens
[2024-11-10 06:11:59] Processing section 105: SectionType.HEADER, 11 tokens
[2024-11-10 06:11:59] Processing section 107: SectionType.HEADER, 13 tokens
[2024-11-10 06:11:59] Processing section 109: SectionType.HEADER, 15 tokens
[2024-11-10 06:11:59] Processing section 111: SectionType.HEADER, 10 tokens
[2024-11-10 06:11:59] Processing section 113: SectionType.HEADER, 14 tokens
[2024-11-10 06:11:59] Processing section 114: SectionType.HEADER, 12 tokens
[2024-11-10 06:11:59] Processing section 116: SectionType.HEADER, 11 tokens
[2024-11-10 06:11:59] Processing section 117: SectionType.HEADER, 11 tokens
[2024-11-10 06:11:59] Processing section 119: SectionType.HEADER, 9 tokens
[2024-11-10 06:11:59] Processing section 121: SectionType.HEADER, 15 tokens
[2024-11-10 06:11:59] Processing section 123: SectionType.HEADER, 13 tokens
[2024-11-10 06:11:59] Processing section 124: SectionType.HEADER, 12 tokens
[2024-11-10 06:11:59] Processing section 126: SectionType.HEADER, 14 tokens
[2024-11-10 06:11:59] Processing section 128: SectionType.HEADER, 12 tokens
